"contrast","direction","gene.id","baseMean","log2FoldChange","pvalue","padj"
"young CD vs old CD","Downregulated","Gm5641",48.5396289730377,-0.957229959672562,0.01094177665006,0.0433518245259574
"young CD vs old CD","Downregulated","Zfp54",62.4031943623576,-0.770277268059706,0.011863970525965,0.0460309584427914
"young CD vs old CD","Downregulated","Myeov2",791.594897327507,-0.418034270292942,0.0124311956081924,0.0477423883360418
"young CD vs old CD","Downregulated","Sepp1",5898.80584719708,-0.393214487212445,0.0124582235109283,0.0478337460837019
"young CD vs old CD","Downregulated","2310069B03Rik",26.7872366469918,-1.05993952113273,0.0124830990920312,0.0478918897857734
"young CD vs old CD","Downregulated","H2afj",151.72790460694,-0.401600508523708,0.0127265519997323,0.0486310233809712
"young CD vs old CD","Downregulated","9030617O03Rik",597.001046210476,-0.278844472675282,0.0128912567945192,0.0491534469697323
"young CD vs old CD","Downregulated","AI987944",451.385493590643,-0.233911434156532,0.0132681828137869,0.0501699037586246
"young CD vs old CD","Downregulated","Marc1",47.5003400804552,-1.31402210984956,0.0133126289597018,0.0502516853316485
"young CD vs old CD","Downregulated","Gm4952",8.3555436865727,-6.16383664082,0.0139470470287214,0.0519950139608623
"young CD vs old CD","Downregulated","Sprr2a1",49.5491316875762,-5.6463800714393,0.0144345023031686,0.0532874612407296
"young CD vs old CD","Downregulated","1110046J04Rik",34.7320642475479,-0.59098944921091,0.0145055872866481,0.0534963739976982
"young CD vs old CD","Downregulated","Zfp938",141.072275802874,-0.540267248783609,0.014602505003613,0.053786622097889
"young CD vs old CD","Downregulated","Fam84a",5.98985920864186,-1.40340966181928,0.0147782571100748,0.0542445076370051
"young CD vs old CD","Downregulated","Zfp870",292.650726839777,-0.275892454807733,0.0148330897414088,0.0543781732933742
"young CD vs old CD","Downregulated","Fam129a",548.514791626231,-0.461429966746586,0.0150361614874237,0.0548909129670711
"young CD vs old CD","Downregulated","Fam175b",1072.79692892199,-0.202300629864566,0.0150982053966688,0.0550493470661945
"young CD vs old CD","Downregulated","Zfp934",58.79883867176,-0.546112037756239,0.0151741888158742,0.0551826114621999
"young CD vs old CD","Downregulated","Zfp759",174.14964964016,-0.330614676040767,0.0152193460217016,0.0552998290224909
"young CD vs old CD","Downregulated","Ctla2b",46.7128301259602,-0.816769819602732,0.0152772190257875,0.0554828006095207
"young CD vs old CD","Downregulated","Zfp882",85.7738479624841,-0.374632259921134,0.0154424408250882,0.0558492782706461
"young CD vs old CD","Downregulated","Shfm1",794.256596450036,-0.390726317380921,0.0155501591982703,0.0560988035410152
"young CD vs old CD","Downregulated","Gm10335",21.3692154034513,-1.84936552476965,0.0157195031026292,0.0565909710752823
"young CD vs old CD","Downregulated","RP23-428M4.4",11.2546040851354,-1.42658548885664,0.0157913317355152,0.0568049294374782
"young CD vs old CD","Downregulated","Nxpe5",7.84103000758354,-1.13033487496931,0.0164424897407777,0.0585905083377023
"young CD vs old CD","Downregulated","Gas5",894.353605508694,-0.332704524412291,0.0165675088740725,0.0589364177127548
"young CD vs old CD","Downregulated","Gm166",33.016694986997,-0.562396215222553,0.0170264691605297,0.0600481997651457
"young CD vs old CD","Downregulated","Fam46c",80.7888557134649,-0.709207700340121,0.0181703683362855,0.0629112976066431
"young CD vs old CD","Downregulated","Hmha1",79.5405783672213,-0.606840693557186,0.018789041800228,0.0646127705792605
"young CD vs old CD","Downregulated","BC049352",88.005445612654,-0.563052205983601,0.0188787287244266,0.0648155051531884
"young CD vs old CD","Downregulated","Vmn2r1",7.22869538619369,-1.38762221748275,0.0190677468597516,0.0651613765950262
"young CD vs old CD","Downregulated","2810007J24Rik",11.186510740018,-7.01044507562398,0.0193373886001464,0.0658541794472805
"young CD vs old CD","Downregulated","2700060E02Rik",2405.43115090219,-0.250149638551663,0.0194418314978451,0.0661183502424987
"young CD vs old CD","Downregulated","Tmem8c",6.28841515054465,-1.77577027343038,0.0201137621528625,0.0677325434905815
"young CD vs old CD","Downregulated","Zfp68",982.862936618142,-0.194983659010125,0.0221043521078037,0.0729384332068633
"young CD vs old CD","Downregulated","Gm29216",668.691372880385,-1.45240212374266,0.0222126312248625,0.0731680018531284
"young CD vs old CD","Downregulated","Fam96a",1164.18631193959,-0.208624084430424,0.0230243039316289,0.0750971814670166
"young CD vs old CD","Downregulated","Gm13139",41.0362511238353,-0.725917339821649,0.023602206384803,0.0763953897958445
"young CD vs old CD","Downregulated","Zfp874a",284.315675645605,-0.244337119448605,0.0237631523625018,0.0767480678905303
