"gene_id","VIP_component_1","VIP_component_2","VIP_max_component_1_2","VIP_mean_component_1_2"
"Ankib1",1.17924731972893,1.85808775173455,1.85808775173455,1.51866753573174
"Slmo2",1.39213085262524,1.85769563877473,1.85769563877473,1.62491324569999
"Nup210",1.85663029611969,1.39659754848466,1.85663029611969,1.62661392230217
"Rbbp6",1.85656850826447,1.40118575295574,1.85656850826447,1.6288771306101
"Dab2ip",1.85641065230498,1.43244895761601,1.85641065230498,1.6444298049605
"Tifa",1.85633192941629,1.44557167264676,1.85633192941629,1.65095180103152
"Scn4b",1.85520821184407,1.45446146521315,1.85520821184407,1.65483483852861
"Slc4a10",1.85514124343867,1.42914671565901,1.85514124343867,1.64214397954884
"Cdk16",1.8547810702514,1.40192260261572,1.8547810702514,1.62835183643356
"Dnajb5",1.85404524160796,1.49030960557523,1.85404524160796,1.67217742359159
"Btnl7-ps",0.756472192604706,1.85346612252989,1.85346612252989,1.3049691575673
"Lgr4",1.85312465721498,1.44738524372384,1.85312465721498,1.65025495046941
"Uchl1",1.85309243971112,1.4184876389844,1.85309243971112,1.63579003934776
"RP23-372I17.5",0.258532065369343,1.85296168500433,1.85296168500433,1.05574687518684
"Plekha4",0.272090436057354,1.85277327168586,1.85277327168586,1.06243185387161
"Cacna2d4",1.85183138925157,1.4138009661384,1.85183138925157,1.63281617769499
"Glud1",1.85153095640315,1.40521505472932,1.85153095640315,1.62837300556623
"Mfsd7a",1.8508977878414,1.39229000869267,1.8508977878414,1.62159389826704
"Gm4787",0.00750094311848353,1.8503481522799,1.8503481522799,0.928924547699192
"Apod",1.84914059038936,1.61007366081448,1.84914059038936,1.72960712560192
"Vwa5a",1.84886975878766,1.40661044595544,1.84886975878766,1.62774010237155
"Tnk2",1.8476178069182,1.42013484605947,1.8476178069182,1.63387632648884
"Ctxn3",1.84742925465424,1.3896782146189,1.84742925465424,1.61855373463657
"Rbm33",1.84679745665643,1.60747701000086,1.84679745665643,1.72713723332864
"Emb",1.84675809536922,1.45394239148894,1.84675809536922,1.65035024342908
"Hoxa10",1.54628433365161,1.84571598814763,1.84571598814763,1.69600016089962
"C130026I21Rik",1.84532810206111,1.40348924896345,1.84532810206111,1.62440867551228
