correlation_method,metabolite_timepoint,hormone_sampling_time,metabolite_source,metabolite_ion_mode,metabolite,metabolite_formula,metabolite_mz,metabolite_rt,hormone,n,n_unique_samples,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone,n_med_adj_ic,n_raw_ion_count_fallback,n_cd,n_id,n_young,n_old,correlation,p_value,p_adj_bh,metabolite_min,metabolite_max,hormone_min,hormone_max
pearson,pv,SAC,CD,nega,L-Allothreonine,C4H9NO3,118.05098,14.084,GLP-1,41,41,43,2,3M6;5M10,5M10,3M6,41,0,23,18,13,28,0.3535776312548235,0.023341774161917572,0.4959942730380301,7493469.96096132,42606551.738265,28.62,419.71
pearson,sys_sac,SAC,CD,posi,DIPHENYLNITROSAMINE,C12H10N2O,199.08653,3.801,Resistin,38,38,38,0,,,,38,0,21,17,10,28,-0.3671839320688023,0.023345967336065185,0.4959942730380301,11055.2205040834,175341.551120667,5122.24,58609.94
pearson,sys_sac,SAC,CD,nega,12S-HHT,C17H28O3,279.19698,2.457,Insulin,25,25,38,13,2M16;2M23;2M31;3M4;3M6;3M14;3M27;3M31;3M33;3M34;3M37;3M40;5M2,2M16;2M23;2M31;3M4;3M27;3M31;3M33;3M34;3M40,3M6;3M14;3M37;5M2,25,0,16,9,9,16,0.4518770843988549,0.023348318318298627,0.4959942730380301,11920.4043770614,658570.960043689,112.79,6851.38
pearson,tp4,GTT,CD,posi,benzquinamide,C22H32N2O5,405.23813,2.808,Glucagon,27,27,31,4,3M6;3M11;3M19;3M30,3M6;3M11;3M19;3M30,,0,27,12,15,0,27,-0.43496997446691515,0.023362544550967587,0.4959942730380301,7993.71429623155,33538.2127429713,17.67,161.53
pearson,sys_sac,SAC,CD,posi,LysoPE(22:0/0:0),C27H56NO7P,538.3867,3.826,Resistin,37,37,38,1,3M34,3M34,,37,0,21,16,10,27,-0.3720330409028816,0.023366236092277802,0.4959942730380301,64570.2812576058,15782470.0870898,5122.24,58609.94
pearson,tp4,GTT,CD,nega,2-Methylhippuric acid,C10H11NO3,192.06671,3.55,GLP-1,29,29,34,5,3M1;3M3;3M6;3M23;3M34,3M34,3M1;3M3;3M6;3M23,0,29,12,17,0,29,-0.419801184027859,0.023381066051099464,0.4959942730380301,2416438.74975274,13207391.4301848,24.2,196.46
pearson,sys_sac,SAC,CD,posi,Rolgamidine,C9H16N4O,197.13956,3.791,Resistin,37,37,38,1,5M6,5M6,,37,0,20,17,9,28,-0.371992563125752,0.023382479861247266,0.4959942730380301,22847.1981872436,2205092.04141853,5122.24,58609.94
pearson,sys_sac,SAC,CD,posi,"15-Ethyl-1,11-diazatetracyclo[13.3.1.0~4,12~.0~5,10~]nonadeca-5,7,9,11-tetraen-4-ol 1-oxide",C19H26N2O2,315.20375,3.854,PYY,35,35,38,3,3M17;3M38;4M5,3M17;4M5,3M38,35,0,20,15,9,26,-0.3823977537598896,0.02338589458463352,0.4959942730380301,9644.80905115092,141776.733089117,29.88,352.53
pearson,pv,SAC,CD,posi,Propofol,C12H18O,161.13253,2.412,Resistin,42,42,43,1,5M2,5M2,,42,0,24,18,13,29,-0.3492462106755275,0.023391550557752872,0.4959942730380301,51461.2185864061,1269460.81532781,5122.24,58609.94
pearson,tp4,GTT,CD,posi,glutaral,C5H8O2,101.0597,14.714,GLP-1,26,26,35,9,3M3;3M4;3M6;3M13;3M14;3M18;3M20;3M22;3M23,3M3;3M4;3M6;3M13;3M14;3M18;3M20;3M22,3M3;3M6;3M23,0,26,11,15,0,26,0.4430764270660891,0.023393129621380564,0.4959942730380301,8233.6903646448,113162.623028729,24.2,219.87
