"direction","overlap_group","gene.id"
"Upregulated","Young CD vs old CD only","B4galt7"
"Upregulated","Young CD vs old CD only","B630005N14Rik"
"Upregulated","Young CD vs old CD only","BC023829"
"Upregulated","Young CD vs old CD only","BC024978"
"Upregulated","Young CD vs old CD only","BC030336"
"Upregulated","Young CD vs old CD only","BC037032"
"Upregulated","Young CD vs old CD only","BC052040"
"Upregulated","Young CD vs old CD only","Babam1"
"Upregulated","Young CD vs old CD only","Bace1"
"Upregulated","Young CD vs old CD only","Bag2"
"Upregulated","Young CD vs old CD only","Bag6"
"Upregulated","Young CD vs old CD only","Bahcc1"
"Upregulated","Young CD vs old CD only","Bai2"
"Upregulated","Young CD vs old CD only","Bap1"
"Upregulated","Young CD vs old CD only","Baz2a"
"Upregulated","Young CD vs old CD only","Bbs2"
"Upregulated","Young CD vs old CD only","Bcat2"
"Upregulated","Young CD vs old CD only","Bcdin3d"
"Upregulated","Young CD vs old CD only","Bckdha"
"Upregulated","Young CD vs old CD only","Bckdhb"
"Upregulated","Young CD vs old CD only","Bckdk"
"Upregulated","Young CD vs old CD only","Bcl2l11"
"Upregulated","Young CD vs old CD only","Bcl2l2"
"Upregulated","Young CD vs old CD only","Bcl6b"
