correlation_method,metabolite_tissue,metabolite,hormone,n,n_unique_samples,n_before_outlier_filter,n_outlier_removed,removed_samples,removed_for_metabolite,removed_for_hormone,n_cd,n_id,n_old_cd,n_old_id,correlation,p_value,p_adj_bh,old_diet_stratifying,all_diet_stratifying,old_diet_metabolite_cohens_d,old_diet_hormone_cohens_d,all_diet_metabolite_cohens_d,all_diet_hormone_cohens_d,metabolite_min,metabolite_max,hormone_min,hormone_max
pearson,Liver,"N~4~-Carboxy-1-(β-D-ribofuranosyl)-1H-imidazole-4,5-diamine",C-Peptide 2,7,7,13,6,2M16;2M17;2M20;2M22;2M23;2M31,2M17;2M20;2M22;2M23;2M31,2M16,5,2,0,2,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,0.7144875216070812,-2.9304101934901987,2881.51787704147,12041.8441698178,35.4,267.99
pearson,Liver,"N~4~-Carboxy-1-(β-D-ribofuranosyl)-1H-imidazole-4,5-diamine",GLP-1,7,7,13,6,2M17;2M20;2M22;2M23;2M31;2M33,2M17;2M20;2M22;2M23;2M31,2M33,6,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2881.51787704147,12041.8441698178,52.35,235.47
pearson,Liver,"N~4~-Carboxy-1-(β-D-ribofuranosyl)-1H-imidazole-4,5-diamine",Leptin,6,6,13,7,2M16;2M17;2M20;2M22;2M23;2M31;2M33,2M17;2M20;2M22;2M23;2M31,2M16;2M17;2M33,5,1,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2881.51787704147,12041.8441698178,221.83,809.71
pearson,Liver,"N~4~-Carboxy-1-(β-D-ribofuranosyl)-1H-imidazole-4,5-diamine",PP,2,2,2,0,,,,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4250.1143672601,68246.3197747962,66,539.87
pearson,Liver,"N~4~-Carboxy-1-(β-D-ribofuranosyl)-1H-imidazole-4,5-diamine",PYY,6,6,13,7,2M17;2M20;2M22;2M23;2M26;2M31;2M33,2M17;2M20;2M22;2M23;2M31,2M26;2M31;2M33,6,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2881.51787704147,10044.0849232654,72.52,97.03
pearson,Liver,"N~4~-Carboxy-1-(β-D-ribofuranosyl)-1H-imidazole-4,5-diamine",Secretin,7,7,12,5,2M17;2M20;2M22;2M23;2M31,2M17;2M20;2M22;2M23;2M31,,6,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2881.51787704147,12041.8441698178,21.05,60.26
pearson,Liver,"N~6~,N~6~-Dimethyllysine",PP,2,2,2,0,,,,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,268352.275461996,420154.579932087,66,539.87
pearson,Liver,O-Phosphoethanolamine,PP,2,2,2,0,,,,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9316124.59417563,17998042.3727858,66,539.87
pearson,Liver,O-ureido-D-serine,PP,2,2,2,0,,,,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36027.4319667631,188053.791242483,66,539.87
pearson,Liver,O-{Hydroxy[2-hydroxy-3-(stearoyloxy)propoxy]phosphoryl}serine,PP,2,2,2,0,,,,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4919536.31953133,5280579.62603879,66,539.87
