"tissue","raw.file","source","sequence.id","sample","sample.id","ion.mode","name","formula","mz","rt","ion.count","val.ic","med.val","val.adj.ic","med.adj.ic"
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-Pyrocatechuic acid","C7H6O4",153.0191,2.097,42680.6485580617,841154,907295.31,46036.6975185134,55219.6890948829
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-[(2S,3R,4S,5R)-5-{[(Cyclohexylcarbamoyl)amino]methyl}-3,4-dihydroxytetrahydro-2-furanyl]-N-isopropylacetamide","C17H31N3O5",356.21896,3.041,39674.6028579766,841154,907295.31,42794.2815455372,51330.5047790004
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-[(5-methyl-2-furyl)methylene][1,3]thiazolo[3,2-a]benzimidazol-3(2h)-one","C15H10N2O2S",281.04074,9.625,4131.61255114757,841154,907295.31,4456.48798007657,5345.4286249779
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","2-hydroxyflutamide","C11H11F3N2O4",291.05713,11.314,63584.2047552701,841154,907295.31,68583.9344097945,82264.4485627949
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","20-HETE ethanolamide","C22H37NO3",362.26657,2.586,238439.855111164,841154,907295.31,257188.769546883,308490.501243343
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","3,4-Dihydroxyhydrocinnamic acid","C9H10O4",181.05045,3.598,1213325.28392968,841154,907295.31,1308731.02857957,1569785.07152751
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","3-(1-cyano-1,2-dihydroisoquinolin-2-yl)-3-oxopropyl propionate","C16H16N2O3",283.11087,1.888,582479.35268365,841154,907295.31,628280.653556556,753604.498666984
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","3-Amino-4-hydroxybenzoic acid","C7H7NO3",152.03504,8.034,5266033.06893365,841154,907295.31,5680109.83214537,6813127.69730541
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","3-Furoic acid","C5H4O3",111.00856,14.824,2103112.45221202,841154,907295.31,2268483.61215017,2720980.577058
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","3-Hydroxy-1-phenyl-1-eicosanone","C26H44O2",387.32673,2.198,81491.8096171381,841154,907295.31,87899.6434291964,105433.083677633
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","3-Hydroxyhexanoylcarnitine","C13H25NO5",274.16559,9.112,129608.7676483,841154,907295.31,139800.116295211,167686.201951076
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","3-Methoxy-4-hydroxyphenylethyleneglycol sulfate","C9H12O7S",263.02289,2.49,114521.236938167,841154,907295.31,123526.228454478,148166.143489695
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","3-Methyl-2-oxovaleric acid","C6H10O3",129.05573,2.518,804568.677570074,841154,907295.31,867833.224037727,1040940.88847928
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","3-Methylbutyl glucosinolate","C12H23NO9S2",388.07462,14.854,16017.8725813315,841154,907295.31,17277.3840096102,20723.7231341347
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","3-Methylphenylacetic acid","C9H10O2",149.06074,2.633,1083505.93188882,841154,907295.31,1168703.76929778,1401826.41812412
"Liver","Liver 060425(HILIC_neg_pos_25min_sac_liver_tissue_inulin_cohort1_2_4)Compound Discover_negative.csv","CD","1M1_neg","1M1","Liver_1M1","nega","3-Nitrotyrosine","C9H10N2O5",225.0516,12.469,99748.1653385883,841154,907295.31,107591.526156692,129052.928291115
