tissue,name,PC1,pc1_variance_explained,variance_explained,abs_variance_explained,rank
Liver,"PE(20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))",0.04350832901409207,0.20931212974484736,3.96222564670199e-4,0.009106821007579147,133
Liver,"LysoPE(0:0/18:3(6Z,9Z,12Z))",-0.043479890483033856,0.20931212974484736,3.9570476472726283e-4,0.009100868478076536,134
Liver,trans-trans-Muconic acid,-0.04343992505676343,0.20931212974484736,3.949776588716697e-4,0.009092503229587713,135
Liver,2-Octenoic acid,0.043307209197785135,0.20931212974484736,3.925679068379493e-4,0.009064724190494049,136
Liver,Carbocysteine,-0.043175453734750645,0.20931212974484736,3.901828865262955e-4,0.009037146173920782,137
Liver,Glucosylceramide (d18:1/16:0),0.043133359062033166,0.20931212974484736,3.8942242599834245e-4,0.009028335248323374,138
Liver,Acetylglycine,-0.04312685747231235,0.20931212974484736,3.8930503778281296e-4,0.009026974386732181,139
Liver,10-Hydroxydecanoic acid,0.043123089520754256,0.20931212974484736,3.8923701435010266e-4,0.009026185708766782,140
Liver,N-Acetyl-L-tyrosine,-0.043106874225777095,0.20931212974484736,3.8894434485818054e-4,0.009022791650840672,141
Liver,Biflorin,-0.043056581595879946,0.20931212974484736,3.880373144392579e-4,0.00901226479336643,142
Liver,n6-(delta2-isopentenyl)-adenine,-0.043047599216968366,0.20931212974484736,3.878754281727648e-4,0.009010384672506273,143
Liver,c20:7,-0.04302220948310327,0.20931212974484736,3.8741802056572593e-4,0.009005070293237315,144
Liver,Valerophenone,-0.04301066007516236,0.20931212974484736,3.872100420249184e-4,0.009002652862063911,145
Liver,L-Glutathione oxidized,0.04295425568899942,0.20931212974484736,3.8619512972494816e-4,0.008990846739869194,146
Liver,13-OxoODE,-0.04266955768280318,0.20931212974484736,3.8109274280981185e-4,0.008931255993858148,147
Liver,"15-Keto-13,14-dihydroprostaglandin A2",-0.042537828006386384,0.20931212974484736,3.7874335201787374e-4,0.00890368337473675,148
Liver,"(2R)-1-[(Hydroxy{[(1s,3R)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphoryl)oxy]-3-(stearoyloxy)-2-propanyl (5Z,8Z,11Z,14Z)-5,8,11,14-icosatetraenoate",0.04252326901946388,0.20931212974484736,3.7848413916490107e-4,0.008900636002177071,149
Liver,6-Keto-decanoylcarnitine,0.04249386496797183,0.20931212974484736,3.779608906171609e-4,0.008894481377536144,150
Liver,Cibaric acid,-0.04246002027475276,0.20931212974484736,3.7735906838938445e-4,0.0088873972727179,151
Liver,N-Acetylasparagine,-0.04241229461323586,0.20931212974484736,3.765112313197289e-4,0.008877407712862315,152
Liver,"(6Z,9Z,12Z,15Z)-6,9,12,15-Octadecatetraenal",-0.042400664889061704,0.20931212974484736,3.7630477602313154e-4,0.008874973470527077,153
Liver,SM(d18:1/16:0),0.04230625107121017,0.20931212974484736,3.746308015676007e-4,0.008855211513235232,154
Liver,2-Hydroxybenzaldehyde,0.041992856436254236,0.20931212974484736,3.691010078497201e-4,0.008789614214741996,155
Liver,arg-leu,-0.04190420173658904,0.20931212974484736,3.6754417175424725e-4,0.008771057710743184,156
Liver,ubiquinol,0.04187562191518388,0.20931212974484736,3.6704299219587596e-4,0.008765075607457143,157
Liver,Urocanic acid,-0.04184755806187262,0.20931212974484736,3.6655119345367475e-4,0.008759201502551715,158
Liver,Pubescenol,-0.04183468479727957,0.20931212974484736,3.663257091039456e-4,0.008756506972122975,159
Liver,N-Hydroxy Sulfamethoxazole,0.04183255416510757,0.20931212974484736,3.662883962631992e-4,0.00875606100496535,160
Liver,Propoxyphene,0.04182740573392099,0.20931212974484736,3.661982418561994e-4,0.008754983375868844,161
