"ontology","ID","Description","age_direction","age_NES","age_p.adjust","age_setSize","diet_direction","diet_NES","diet_p.adjust","diet_setSize","NES_delta","abs_NES_delta","direction_switch","NES_change_class","best_p.adjust","worst_p.adjust"
"BP","GO:0043299","leukocyte degranulation","Down",-2.21714406624129,4.97347288282223e-05,63,"Up",1.76217082754762,0.020655314601592,68,3.97931489378892,3.97931489378892,TRUE,"Switched: young-down, ID-up",4.97347288282223e-05,0.020655314601592
"BP","GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","Down",-2.25690520774813,0.00021274928696975,21,"Up",1.71971848040053,0.0841370037630523,24,3.97662368814866,3.97662368814866,TRUE,"Switched: young-down, ID-up",0.00021274928696975,0.0841370037630523
"BP","GO:0050766","positive regulation of phagocytosis","Down",-2.06914139173249,0.000130499143819528,77,"Up",1.8968504584167,0.00419305638947267,81,3.96599185014919,3.96599185014919,TRUE,"Switched: young-down, ID-up",0.000130499143819528,0.00419305638947267
"BP","GO:0002548","monocyte chemotaxis","Down",-2.10659684720172,0.00108212053000609,29,"Up",1.85527864006842,0.0354237926081142,31,3.96187548727014,3.96187548727014,TRUE,"Switched: young-down, ID-up",0.00108212053000609,0.0354237926081142
"BP","GO:0002886","regulation of myeloid leukocyte mediated immunity","Down",-2.07909738440565,0.000321173383170883,54,"Up",1.87662615883387,0.00846087062256973,56,3.95572354323952,3.95572354323952,TRUE,"Switched: young-down, ID-up",0.000321173383170883,0.00846087062256973
"BP","GO:0001909","leukocyte mediated cytotoxicity","Down",-2.30435523194708,1.29204131269634e-07,104,"Up",1.62314258019051,0.0302660270423852,110,3.92749781213759,3.92749781213759,TRUE,"Switched: young-down, ID-up",1.29204131269634e-07,0.0302660270423852
"BP","GO:0060326","cell chemotaxis","Down",-1.89116727850355,9.00947041603731e-06,250,"Up",2.01705073242762,4.52049168206507e-07,260,3.90821801093117,3.90821801093117,TRUE,"Switched: young-down, ID-up",4.52049168206507e-07,9.00947041603731e-06
"BP","GO:0002920","regulation of humoral immune response","Down",-2.14649885959377,0.00046157338653246,32,"Up",1.75297299173492,0.0632730015580926,35,3.89947185132869,3.89947185132869,TRUE,"Switched: young-down, ID-up",0.00046157338653246,0.0632730015580926
"BP","GO:0031341","regulation of cell killing","Down",-2.15515881120864,2.05373696911901e-05,82,"Up",1.73646219556885,0.0238145778428679,87,3.89162100677749,3.89162100677749,TRUE,"Switched: young-down, ID-up",2.05373696911901e-05,0.0238145778428679
"BP","GO:0141060","disruption of anatomical structure in another organism","Down",-2.2928470466231,1.74533503629438e-06,66,"Up",1.59725931923841,0.0479699606750928,71,3.89010636586151,3.89010636586151,TRUE,"Switched: young-down, ID-up",1.74533503629438e-06,0.0479699606750928
