"source","ion.mode","name","formula","mz","rt","med.ic","n.samples"
"CD","nega","Glyceric acid","C3H6O4",105.01931,10.231,1103759.44357158,44
"CD","nega","Glycerol","C3H8O3",151.06107,6.495,694967.378600403,22
"CD","nega","Glycerol 3-phosphate","C3H9O6P",171.00634,14.652,5959923.21142896,44
"CD","nega","Glycerophospho-N-palmitoyl ethanolamine","C21H44NO7P",452.27834,4.1,143997.690197093,22
"CD","nega","Glycerophosphocholine","C8H20NO6P",316.11653,14.746,538363.463177582,44
"CD","nega","Glycerophosphoinositol","C9H19O11P",333.05927,14.829,957412.513030439,44
"CD","nega","Glycerylphosphorylethanolamine","C5H14NO6P",214.0485,14.594,3281834.67936755,44
"CD","nega","Glycine","C2H5NO2",74.02462,14.238,12048630.794531,44
"CD","nega","Glycodiazine","C13H15N3O4S",308.07363,8.365,62153.4555885598,44
"CD","nega","Glycolic acid","C2H4O3",75.00862,7.748,5096848.81536365,22
"CD","nega","Glycyltyrosine","C11H14N2O4",237.0879,9.529,495292.382662952,22
"CD","nega","Glyoxylic acid","C2H2O3",72.99296,13.069,5438159.2222502,22
"CD","nega","Goshuyic acid","C14H24O2",223.17005,2.382,1642431.07557587,44
"CD","nega","Guanine","C5H5N5O",150.04197,9.533,707353.693834002,22
"CD","nega","Guanosine triphosphate","C10H16N5O14P3",503.97342,14.974,10293.2639148788,22
"CD","nega","Heptadecanoic acid","C17H34O2",269.24858,2.234,10759375.4472594,44
"CD","nega","Heptadecanoyl carnitine","C24H47NO4",412.3433,2.479,90571.041703326,44
"CD","nega","Heptyl 4-hydroxybenzoate","C14H20O3",235.13376,2.648,519105.261181289,22
"CD","nega","Hexacosanoic acid","C26H52O2",395.38923,2.186,93907.0972743744,22
"CD","nega","Hexadecanedioic acid","C16H30O4",285.20679,3.088,398438.175019893,22
"CD","nega","Hexanoylglycine","C8H15NO3",172.09789,3.892,1219082.54643507,44
"CD","nega","Hippuric acid","C9H9NO3",178.05082,3.581,1330405.84429129,44
"CD","nega","Homocysteinesulfinic acid","C4H9NO4S",166.01785,4.288,56935793.8081181,44
"CD","nega","Hypoxanthine","C5H4N4O",135.03114,7.903,72833996.5004327,22
"CD","nega","Imidazoleacetic acid","C5H6N2O2",125.03548,12.063,781468.16671323,22
"CD","nega","Imidazoleacetic acid ribotide","C10H15N2O9P",337.0458,15.177,204197.456938999,22
"CD","nega","Indole","C8H7N",116.05044,9.74,537410.644400267,22
"CD","nega","Indole-3-acetylglycine","C12H12N2O3",231.07745,3.911,25487.9159162888,22
"CD","nega","Indole-3-methyl acetate","C11H11NO2",188.07152,2.946,45880.5304058653,22
"CD","nega","Indoleacetaldehyde","C10H9NO",158.06101,2.813,19343066.3944279,44
"CD","nega","Indoleacetic acid","C10H9NO2",174.05588,2.872,141152.568872472,44
"CD","nega","Indoxyl sulfate","C8H7NO4S",212.00226,2.063,5061595.88769164,44
"CD","nega","Inosine","C10H12N4O5",267.0734,9.238,24177660.1564911,44
"CD","nega","Inosinic acid","C10H13N4O8P",347.03956,14.774,118997885.390528,44
