Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
TS_Lung_b cell	Adult	Respiratory system	TS_Lung	b cell	B cell	CL:0000236	Lung	UBERON:0002048	1.27189547545795e-28	4.11708882651482e-05	0.350553505535055	0.000175298654155998	3.75622141816101	NA
Fetal_HCA_Cerebrum_10k_Vascular endothelial cells	Fetal	Nervous system	Fetal_HCA_Cerebrum_10k	Vascular endothelial cells	Endothelial cell	CL:0000115	Cerebral hemisphere	UBERON:0001869	1.62347062970112e-28	4.11708882651482e-05	0.351291512915129	0.000175637287573638	3.75538327847324	NA
Enge_2017_Pancreas_acinar cell	Adult	Digestive system	Enge_2017_Pancreas	acinar cell	Acinar cell	CL:0000622	Pancreas	UBERON:0001264	1.94894179133858e-28	4.11708882651482e-05	0.352029520295203	0.00017597585715845	3.75454691072038	NA
AdultAdrenalGland_Myeloid cell	Adult	Endocrine system	AdultAdrenalGland	Myeloid cell	Myeloid cell	CL:0000763	Adrenal gland	UBERON:0002369	2.09212881260769e-28	4.11708882651482e-05	0.352767527675277	0.000176314363044217	3.7537123074581	NA
TS_Bladder_plasma cell	Adult	Urinary system	TS_Bladder	plasma cell	Plasma cell	CL:0000786	Bladder organ	UBERON:0018707	2.22678435566295e-28	4.11708882651482e-05	0.353505535055351	0.000176652805364164	3.75287946128885	NA
AdultLung_T cell	Adult	Respiratory system	AdultLung	T cell	T cell	CL:0000084	Lung	UBERON:0002048	3.10377712692992e-28	4.11708882651482e-05	0.354243542435424	0.000176991184251074	3.75204836486114	NA
TS_Bone_Marrow_erythroid progenitor	Adult	Lymphatic system	TS_Bone_Marrow	erythroid progenitor	Erythroid progenitor cell	CL:0000038	Bone marrow	UBERON:0002371	4.79993339844719e-100	0.000205854441325741	0.0708487084870849	0.000176991184251074	3.75204836486114	NA
Madissoon_2020_lung_B_cell_naive	Adult	Respiratory system	Madissoon_2020_lung	B_cell_naive	B cell	CL:0000236	Lung	UBERON:0002048	3.24065615747005e-28	4.11708882651482e-05	0.354981549815498	0.000177329499837064	3.75121901086975	NA
FetalSpinalCord_Neutrophil	Fetal	Nervous system	FetalSpinalCord	Neutrophil	Neutrophil	CL:0000775	Spinal cord	UBERON:0002240	4.22676357413552e-28	4.11708882651482e-05	0.355719557195572	0.000177667752253807	3.75039139205483	NA
TS_Skin_nk cell	Adult	Integumentary system	TS_Skin	nk cell	Natural killer cell	CL:0000623	Skin of body	UBERON:0002097	4.59485001512807e-28	4.11708882651482e-05	0.356457564575646	0.000178005941632198	3.74956550120228	NA
