plate,assay_group,well_id,raw_sample_id,sample,sample_suffix,sampling_tissue,sampling_time,sampling_month,diet,cohort,animal,age,group,cytokine,concentration_pg_ml,mfi
Plate 1,Unknown Group 1,102,2M17_17mon,2M17,17mon,systemic blood,intermediary month sample,17,CD,2,17,Old,Old CD,GDF-15,524.716686980024,96137.25
Plate 1,Unknown Group 1,102,2M17_17mon,2M17,17mon,systemic blood,intermediary month sample,17,CD,2,17,Old,Old CD,IFN-gamma,27.105818440891237,2252.05859
Plate 1,Unknown Group 1,102,2M17_17mon,2M17,17mon,systemic blood,intermediary month sample,17,CD,2,17,Old,Old CD,IL-10,51.473854322445106,3794.63794
Plate 1,Unknown Group 1,102,2M17_17mon,2M17,17mon,systemic blood,intermediary month sample,17,CD,2,17,Old,Old CD,IL-17A,N/A,3158.07983
Plate 1,Unknown Group 1,102,2M17_17mon,2M17,17mon,systemic blood,intermediary month sample,17,CD,2,17,Old,Old CD,IL-17F,N/A,2209.77246
Plate 1,Unknown Group 1,102,2M17_17mon,2M17,17mon,systemic blood,intermediary month sample,17,CD,2,17,Old,Old CD,IL-1a,308.92081648539295,31984.66797
Plate 1,Unknown Group 1,102,2M17_17mon,2M17,17mon,systemic blood,intermediary month sample,17,CD,2,17,Old,Old CD,IL-6,242.13918754637703,9667.35742
Plate 1,Unknown Group 1,102,2M17_17mon,2M17,17mon,systemic blood,intermediary month sample,17,CD,2,17,Old,Old CD,IL-7,0.628339488390307,2850.36157
Plate 1,Unknown Group 1,102,2M17_17mon,2M17,17mon,systemic blood,intermediary month sample,17,CD,2,17,Old,Old CD,TNF-alpha,152.17905456863377,13085.10059
Plate 1,Unknown Group 1,34,2M17_pv_sac,2M17,pv_sac,portal blood,sacrificed sample,N/A,CD,2,17,Old,Old CD,GDF-15,1543.81790586806,265417.6875
Plate 1,Unknown Group 1,34,2M17_pv_sac,2M17,pv_sac,portal blood,sacrificed sample,N/A,CD,2,17,Old,Old CD,IFN-gamma,N/A,1239.87878
Plate 1,Unknown Group 1,34,2M17_pv_sac,2M17,pv_sac,portal blood,sacrificed sample,N/A,CD,2,17,Old,Old CD,IL-10,N/A,3470.80859
Plate 1,Unknown Group 1,34,2M17_pv_sac,2M17,pv_sac,portal blood,sacrificed sample,N/A,CD,2,17,Old,Old CD,IL-17A,N/A,2803.75122
Plate 1,Unknown Group 1,34,2M17_pv_sac,2M17,pv_sac,portal blood,sacrificed sample,N/A,CD,2,17,Old,Old CD,IL-17F,N/A,1457.08484
Plate 1,Unknown Group 1,34,2M17_pv_sac,2M17,pv_sac,portal blood,sacrificed sample,N/A,CD,2,17,Old,Old CD,IL-1a,21.10627903787241,3824.66553
Plate 1,Unknown Group 1,34,2M17_pv_sac,2M17,pv_sac,portal blood,sacrificed sample,N/A,CD,2,17,Old,Old CD,IL-6,117.06027853601374,6035.82471
Plate 1,Unknown Group 1,34,2M17_pv_sac,2M17,pv_sac,portal blood,sacrificed sample,N/A,CD,2,17,Old,Old CD,IL-7,0.36610414828367166,2601.89844
Plate 1,Unknown Group 1,34,2M17_pv_sac,2M17,pv_sac,portal blood,sacrificed sample,N/A,CD,2,17,Old,Old CD,TNF-alpha,28.374902686251986,2924.63403
Plate 1,Unknown Group 1,103,2M18_17mon,2M18,17mon,systemic blood,intermediary month sample,17,CD,2,18,Old,Old CD,GDF-15,276.873526881452,53149.96094
Plate 1,Unknown Group 1,103,2M18_17mon,2M18,17mon,systemic blood,intermediary month sample,17,CD,2,18,Old,Old CD,IFN-gamma,N/A,1148.92358
Plate 1,Unknown Group 1,103,2M18_17mon,2M18,17mon,systemic blood,intermediary month sample,17,CD,2,18,Old,Old CD,IL-10,N/A,2871.19751
