CJ,HMDB Name,Formula,RT,Detected.in,confirmation,HMDB ID,other ID,Classification
CJ0263,d-(+)-galactosamine,C6H13NO5,13.78,Both,Sigma,HMDB0341150,,Carbohydrates and carbohydrate conjugates  
CJ0264,d-galactose,C6H12O6,13.12,Nega,Sigma,HMDB0000143,,Carbohydrates and carbohydrate conjugates  
CJ0265,galactose 1-phosphate,C6H13O9P,14.7,Both,Sigma,HMDB0000645,,Carbohydrates and carbohydrate conjugates  
CJ0266,galacturonate,C6H10O7,14.41,Both,Sigma,,YMDB00674,
CJ0267,"gamma,gamma-dimethylallyl pyrophosphate",C5H12O7P2,8.54,Posi,Sigma,,YMDB00095,
CJ0268,gamma-aminobutyric acid,C4H9NO2,12.83,Both,Sigma,HMDB0000112,,Amino acids related and peptides
CJ0269,gamma-linolenic acid,C18H30O2,2.08,Nega,Sigma,HMDB0003073,,
CJ0270,geranyl-pp,C10H20O7P2,11.92,Nega,Sigma,HMDB0001285,,
CJ0271,gluconic acid,C6H12O7,13.09,Both,Sigma,HMDB0000625,,Carbohydrates and carbohydrate conjugates  
CJ0272,gluconolactone,C6H10O6,5.11,Nega,Sigma,HMDB0000150,,Carbohydrates and carbohydrate conjugates  
CJ0273,glucosaminate,C6H13NO6,14.88,Both,Sigma,,METPA0433,
CJ0274,glucosamine,C6H13NO5,13.04,Both,Sigma,HMDB0001514,,Carbohydrates and carbohydrate conjugates  
CJ0275,glucosamine 6-phosphate,C6H14NO8P,14.86,Both,Sigma,HMDB0001254,,Carbohydrates and carbohydrate conjugates  
CJ0276,glucosamine 6-sulfate,C6H13NO8S,9.79,Both,Sigma,HMDB0000592,,Carbohydrates and carbohydrate conjugates  
CJ0277,alpha-d-glucose,C6H12O6,12.69,Both,Sigma,HMDB0000122,,Glycolysis
CJ0278,glucose 1-phosphate,C6H13O9P,14.84,Both,Sigma,HMDB0001586,,Glycolysis
CJ0279,glucose 6-phosphate,C6H13O9P,14.92,Both,Sigma,HMDB0001401,,Glycolysis
CJ0280,d-glucuronic acid,C6H10O7,13.9,Both,Sigma,HMDB0000127,,Carbohydrates and carbohydrate conjugates  
CJ0281,l-glutamic acid,C5H9NO4,14.24,Both,Sigma,HMDB0000148,,Amino acids
CJ0282,l-glutamine,C5H10N2O3,14.28,Both,Sigma,HMDB0000641,,Amino acids
CJ0283,glutaric acid,C5H8O4,13.24,Both,Sigma,HMDB0000661,,
CJ0284,glutarylcarnitine,C12H21NO6,14.19,Both,Sigma,HMDB0013130,,carnitine
CJ0285,glutathione,C10H17N3O6S,14.95,Both,Sigma,HMDB0000125,,Amino acids related and peptides
CJ0286,glyceraldehyde,C3H6O3,12.99,Nega,Sigma,HMDB0001051,,Carbohydrates and carbohydrate conjugates  
CJ0287,glyceraldehyde 3-phosphate,C3H7O6P,16.78,Nega,Sigma,HMDB0001112,,Glycolysis
CJ0288,glyceric acid,C3H6O4,9.79,Both,Sigma,HMDB0000139,,Carbohydrates and carbohydrate conjugates  
CJ0289,glycerol,C3H8O3,6,Nega,Sigma,HMDB0000131,,Carbohydrates and carbohydrate conjugates  
CJ0290,glycerol 3-phosphate,C3H9O6P,14.57,Both,Sigma,HMDB0000126,,Glycolysis
CJ0291,glycerol 1-myristate,C17H34O4,2.27,Both,Sigma,HMDB0304951,,
CJ0292,tg(14:0/14:0/14:0),C45H86O6,2.24,Posi,Sigma,HMDB0042061,,TG
CJ0293,tg(16:0/16:0/16:0),C51H98O6,3.28,Posi,Sigma,HMDB0005356,,TG
CJ0294,glycine,C2H5NO2,14.1,Both,Sigma,HMDB0000123,,Amino acids 
CJ0295,chenodeoxycholic acid glycine conjugate,C26H43NO5,2.9,Both,Sigma,HMDB0000637,,Bile acids 
CJ0296,glycocholic acid,C26H43NO6,2.98,Both,Sigma,HMDB0000138,,Bile acids 
CJ0297,glycolaldehyde,C2H4O2,14.88,Posi,Sigma,HMDB0003344,,
CJ0298,glycolic acid,C2H4O3,8.99,Both,Sigma,HMDB0000115,,
CJ0299,glyoxylic acid,C2H2O3,12.5,Nega,Sigma,HMDB0000119,,Carbohydrates and carbohydrate conjugates  
CJ0300,guaiacol,C7H8O2,3.19,Nega,Sigma,HMDB0001398,,
CJ0301,guanidoacetic acid,C3H7N3O2,14.03,Both,Sigma,HMDB0000128,,Amino acids related and peptides
CJ0302,guanidinosuccinic acid,C5H9N3O4,14.21,Both,Sigma,HMDB0003157,,Amino acids related and peptides
CJ0303,guanine,C5H5N5O,9.05,Both,Sigma,HMDB0000132,,"Nucleosides, nucleotides, and analogues  "
CJ0304,guanosine,C10H13N5O5,10.22,Both,Sigma,HMDB0000133,,"Nucleosides, nucleotides, and analogues  "
CJ0305,guanosine diphosphate,C10H15N5O11P2,14.92,Both,Sigma,HMDB0001201,,"Nucleosides, nucleotides, and analogues  "
CJ0306,guanosine diphosphate mannose,C16H25N5O16P2,14.84,Both,Sigma,HMDB0001163,,"Nucleosides, nucleotides, and analogues  "
CJ0307,guanosine monophosphate,C10H14N5O8P,14.79,Both,Sigma,HMDB0001397,,"Nucleosides, nucleotides, and analogues  "
CJ0308,guanosine triphosphate,C10H16N5O14P3,15.12,Both,Sigma,HMDB0001273,,"Nucleosides, nucleotides, and analogues  "
CJ0309,l-gulose,C6H12O6,10.49,Both,Sigma,HMDB0012326,,Carbohydrates and carbohydrate conjugates  
CJ0310,heptadecanoic acid,C17H34O2,2.1,Nega,Sigma,HMDB0002259,,FA
CJ0311,heptanoic acid,C7H14O2,2.55,Nega,Sigma,HMDB0000666,,FA
CJ0312,1-hexadecanol,C16H34O,3.81,Posi,Sigma,HMDB0003424,,FA
CJ0313,caproic acid,C6H12O2,2.82,Nega,Sigma,HMDB0000535,,FA
CJ0314,hippuric acid,C9H9NO3,2.89,Both,Sigma,HMDB0000714,,Microbiota related
CJ0315,histamine,C5H9N3,18.5,Posi,Sigma,HMDB0000870,,Amino acids related and peptides
CJ0316,l-histidine,C6H9N3O2,17.46,Both,Sigma,HMDB0000177,,Amino acids
CJ0317,histidinol,C6H11N3O,15.41,Both,Sigma,HMDB0253185,,
CJ0318,homocysteine,C4H9NO2S,14.92,Both,Sigma,HMDB0000742,,Amino acids related and peptides
CJ0319,homocysteine thiolactone,C4H7NOS,2.88,Posi,Sigma,HMDB0002287,,Amino acids related and peptides
CJ0320,dl-homocystine,C8H16N2O4S2,14.69,Both,Sigma,HMDB0000575,,Amino acids related and peptides
CJ0321,homogentisic acid,C8H8O4,3.79,Both,Sigma,HMDB0000130,,
CJ0322,l-homoserine,C4H9NO3,14.17,Both,Sigma,HMDB0000719,,Amino acids related and peptides
CJ0323,homovanillic acid,C9H10O4,3.78,Nega,Sigma,HMDB0000118,,
CJ0324,hydroquinone,C6H6O2,2.38,Both,Sigma,HMDB0002434,,Microbiota related
CJ0325,hydroxykynurenine,C10H12N2O4,9.73,Nega,Sigma,HMDB0000732,,Amino acids related and peptides
CJ0326,hydroxyphenyllactic acid,C9H10O4,3.79,Nega,Sigma,HMDB0000755,,
CJ0327,hydroxypyruvic acid,C3H4O4,7.75,Nega,Sigma,HMDB0001352,,
CJ0328,hypotaurine,C2H7NO2S,13.74,Both,Sigma,HMDB0000965,,Amino acids related and peptides
CJ0329,hypoxanthine,C5H4N4O,7.42,Both,Sigma,HMDB0000157,,"Nucleosides, nucleotides, and analogues  "
CJ0330,indole,C8H7N,,not detected in both,Sigma,HMDB0000738,,Microbiota related
CJ0331,indole-3-acetamide,C10H10N2O,2.76,Both,Sigma,HMDB0029739,,Microbiota related
CJ0332,indoleacetic acid,C10H9NO2,2.89,Both,Sigma,HMDB0000197,,Microbiota related
CJ0333,tryptophol,C10H11NO,2.52,Both,Sigma,HMDB0003447,,Microbiota related
CJ0334,indole-3-methyl acetate,C11H11NO2,2.35,Both,Sigma,HMDB0029738,,Microbiota related
CJ0335,indolepyruvate,C11H9NO3,2.37,Nega,Sigma,HMDB0060484,,
CJ0336,indoleacetaldehyde,C10H9NO,2.49,Both,Sigma,HMDB0001190,,Microbiota related
CJ0337,indoxyl sulfate,C8H7NO4S,1.94,Both,Sigma,HMDB0000682,,
CJ0338,indican,C14H17NO6,3.39,Both,Sigma,HMDB0061755,,
CJ0339,inosine,C10H12N4O5,9,Both,Sigma,HMDB0000195,,"Nucleosides, nucleotides, and analogues  "
CJ0340,idp,C10H14N4O11P2,14.84,Nega,Sigma,HMDB0003335,,"Nucleosides, nucleotides, and analogues  "
CJ0341,inosine triphosphate,C10H15N4O14P3,14.97,Both,Sigma,HMDB0000189,,"Nucleosides, nucleotides, and analogues  "
CJ0342,inosinic acid,C10H13N4O8P,14.58,Both,Sigma,HMDB0000175,,"Nucleosides, nucleotides, and analogues  "
CJ0343,isobutyric acid,C4H8O2,10.73,Nega,Sigma,HMDB0001873,,
CJ0344,isocitric acid,C6H8O7,14.77,Both,Sigma,HMDB0000193,,Glycolysis
CJ0345,l-isoleucine,C6H13NO2,10.41,Both,Sigma,HMDB0000172,,Amino acids
CJ0346,isopentenyl pyrophosphate,C5H12O7P2,14.16,Both,Sigma,HMDB0001347,,
CJ0347,itaconic acid,C5H6O4,13.35,Both,Sigma,HMDB0002092,,FA
CJ0348,ketoleucine,C6H10O3,2.33,Nega,Sigma,HMDB0000695,,Amino acids related and peptides
CJ0349,kynurenic acid,C10H7NO3,3.72,Both,Sigma,HMDB0000715,,Quinoline carboxylic acids  
CJ0350,l-kynurenine,C10H12N2O3,9.26,Both,Sigma,HMDB0000684,,Amino acids related and peptides
CJ0351,l-lactic acid,C3H6O3,7.2,Nega,Sigma,HMDB0000190,,Glycolysis
CJ0352,l-lactic acid,C3H6O3,6,Nega,Sigma,HMDB0000190,,Glycolysis
CJ0353,alpha-lactose,C12H22O11,14.85,Both,Sigma,HMDB0000186,,Carbohydrates and carbohydrate conjugates  
CJ0354,l-alanine,C3H7NO2,13.93,Both,Sigma,HMDB0000161,,Amino acids 
CJ0355,lanosterol,C30H50O,,not detected in both,Sigma,HMDB0001251,,
CJ0356,dodecanoic acid,C12H24O2,2.57,Nega,Sigma,HMDB0000638,,FA
CJ0357,l-carnitine,C7H15NO3,14.13,Both,Sigma,HMDB0000062,,carnitine
CJ0358,l-dopa,C9H11NO4,12.74,Nega,Sigma,HMDB0000181,,Amino acids related and peptides
CJ0359,l-leucine,C6H13NO2,9.85,Both,Sigma,HMDB0000687,,Amino acids
CJ0360,l-gulonolactone,C6H10O6,7.39,Both,Sigma,HMDB0003466,,
CJ0361,liothyronine,C15H12I3NO4,3.86,Both,Sigma,HMDB0000265,,Amino acids related and peptides
CJ0362,lipoamide,C8H15NOS2,2.62,Both,Sigma,HMDB0000962,,
CJ0363,lithocholic acid,C24H40O3,2.4,Nega,Sigma,HMDB0000761,,Bile acids 
CJ0364,ornithine,C5H12N2O2,17.79,Both,Sigma,HMDB0000214,,Amino acids related and peptides
CJ0365,tryptophanamide,C11H13N3O,3.71,Both,Sigma,HMDB0013318,,
CJ0366,lumichrome,C12H10N4O2,2.9,Both,Sigma,HMDB0254199,,
CJ0367,l-lysine,C6H14N2O2,18.29,Both,Sigma,HMDB0000182,,Amino acids
CJ0368,pectin,C5H10O5,9.38,Nega,Sigma,HMDB0003402,,Carbohydrates and carbohydrate conjugates  
CJ0369,d-malic acid,C4H6O5,14.42,Both,Sigma,HMDB0031518,,Glycolysis
CJ0370,maleamic acid,C4H5NO3,,not detected in both,Sigma,HMDB0254310,,FA
CJ0371,maleic acid,C4H4O4,5.7,Nega,Sigma,HMDB0000176,,Carbohydrates and carbohydrate conjugates  
CJ0372,maleimide,C4H3NO2,8.32,Both,Sigma,HMDB0254312,,
CJ0373,malonic acid,C3H4O4,13.99,Nega,Sigma,HMDB0000691,,Carbohydrates and carbohydrate conjugates  
CJ0374,d-maltose,C12H22O11,14.92,Both,Sigma,HMDB0000163,,Carbohydrates and carbohydrate conjugates  
CJ0375,mandelic acid,C8H8O3,2.58,Nega,Sigma,HMDB0000703,,
CJ0376,mannitol,C6H14O6,12.46,Both,Sigma,HMDB0000765,,Carbohydrates and carbohydrate conjugates  
CJ0377,d-mannose,C6H12O6,11.56,Nega,Sigma,HMDB0000169,,Carbohydrates and carbohydrate conjugates  
CJ0378,mannose 6-phosphate,C6H13O9P,14.81,Both,Sigma,HMDB0001078,,Carbohydrates and carbohydrate conjugates  
CJ0379,melanin,C18H10N2O4,14.12,Nega,Sigma,HMDB0004068,,
CJ0380,melatonin,C13H16N2O2,2.63,Both,Sigma,HMDB0001389,,Microbiota related
CJ0381,melibiose,C12H22O11,15.37,Both,Sigma,HMDB0000048,,Carbohydrates and carbohydrate conjugates  
CJ0382,menatetrenone,C41H56O2,,not detected in both,Sigma,HMDB0030017,,
CJ0383,3-mercaptopyruvic acid,C3H4O3S,,not detected in both,Sigma,HMDB0001368,,
CJ0384,tartaric acid,C4H6O6,14.24,not detected in both,Sigma,HMDB0000956,,Carbohydrates and carbohydrate conjugates  
CJ0385,mesoxalic acid,C3H2O5,14.29,Nega,Sigma,HMDB0031522,,
CJ0386,l-methionine,C5H11NO2S,10.8,Both,Sigma,HMDB0000696,,Amino acids
CJ0387,methionine sulfoximine,C5H12N2O3S,13.8,Both,Sigma,HMDB0029430,,Amino acids related and peptides
CJ0388,methylglutaric acid,C6H10O4,12.75,Both,Sigma,HMDB0000752,,FA
CJ0389,gamma-aminobutyric acid,C5H11NO2,10.16,Posi,Sigma,HMDB0002141,,Amino acids related and peptides
CJ0390,methylacetoacetic acid,C5H8O3,12.44,Nega,Sigma,HMDB0000310,,
CJ0391,methyl beta-d-glucopyranoside,C7H14O6,9.28,Both,Sigma,HMDB0029965,,
CJ0392,methyl jasmonate,C13H20O3,,not detected in both,Sigma,HMDB0036583,,
CJ0393,methyl vanillate,C9H10O4,2.47,Nega,Sigma,HMDB0240266,,
CJ0394,methylguanidine,C2H7N3,11.59,Posi,Sigma,HMDB0001522,,
CJ0395,methylmalonic acid,C4H6O4,12.74,Nega,Sigma,HMDB0000202,,
CJ0396,5'-methylthioadenosine,C11H15N5O3S,3.31,Posi,Sigma,HMDB0001173,,"Nucleosides, nucleotides, and analogues  "
CJ0397,mevalonolactone,C6H10O3,2.81,Both,Sigma,HMDB0006024,,
CJ0398,mevalonic acid,C6H12O4,7.74,Nega,Sigma,HMDB0000227,,FA
CJ0399,monoethyl malonic acid,C5H8O4,12.63,Nega,Sigma,HMDB0000576,,
CJ0400,monomethyl glutaric acid,C6H10O4,2.38,Posi,Sigma,HMDB0000858,,FA
CJ0401,myo-inositol,C6H12O6,15.11,Nega,Sigma,HMDB0000211,,Amino acids related and peptides
CJ0402,myristic acid,C14H28O2,2.16,Nega,Sigma,HMDB0000806,,FA
CJ0403,"n6,n6,n6-trimethyl-l-lysine",C9H20N2O2,19.34,Both,Sigma,HMDB0001325,,Amino acids related and peptides
CJ0404,"n,n-dimethyl-p-phenylenediamine",C8H12N2,3.77,Posi,Sigma,HMDB0247696,,
CJ0405,asymmetric dimethylarginine,C8H18N4O2,18.35,Both,Sigma,HMDB0001539,,Amino acids related and peptides
CJ0406,n1-acetylspermine,C12H28N4O,,not detected in both,Sigma,HMDB0001186,,
CJ0407,n6-(delta2-isopentenyl)-adenine,C10H13N5,2.78,Both,Sigma,,METPA1684,
CJ0408,n-acetyl-l-alanine,C5H9NO3,8.54,Both,Sigma,HMDB0000766,,Amino acids related and peptides
CJ0409,n-acetylasparagine,C6H10N2O4,12.08,Both,Sigma,HMDB0006028,,Amino acids related and peptides
CJ0410,n-acetyl-l-aspartic acid,C6H9NO5,13.76,Both,Sigma,HMDB0000812,,Amino acids related and peptides
CJ0411,acetylcysteine,C5H9NO3S,12.18,Both,Sigma,HMDB0001890,,Amino acids related and peptides
CJ0412,n-acetylgalactosamine,C8H15NO6,10.41,Both,Sigma,HMDB0000212,,Carbohydrates and carbohydrate conjugates  
CJ0413,n-acetyl-d-glucosamine,C8H15NO6,10.49,Both,Sigma,HMDB0000215,,Carbohydrates and carbohydrate conjugates  
CJ0414,n-acetyl-l-glutamic acid,C7H11NO5,13.84,Both,Sigma,HMDB0001138,,Amino acids related and peptides
CJ0415,acetylglycine,C4H7NO3,9.41,Both,Sigma,HMDB0000532,,Amino acids related and peptides
CJ0416,n-acetylleucine,C8H15NO3,3.81,Both,Sigma,HMDB0011756,,Amino acids related and peptides
CJ0417,n-acetylmannosamine,C8H15NO6,10.46,Nega,Sigma,HMDB0001129,,Carbohydrates and carbohydrate conjugates  
CJ0418,n-acetyl-l-methionine,C7H13NO3S,2.92,Both,Sigma,HMDB0011745,,Amino acids related and peptides
CJ0419,n-acetylneuraminic acid,C11H19NO9,13.72,Both,Sigma,HMDB0000230,,
CJ0420,n-acetyl-l-phenylalanine,C11H13NO3,2.87,Both,Sigma,HMDB0000512,,Amino acids related and peptides
CJ0421,n-acetylproline,C7H11NO3,9.13,Both,Sigma,HMDB0094701,,Amino acids related and peptides
CJ0422,n-acetylputrescine,C6H14N2O,15.78,Posi,Sigma,HMDB0002064,,
CJ0423,n-acetylserine,C5H9NO4,9.65,Both,Sigma,HMDB0002931,,Amino acids related and peptides
CJ0424,n-acetylserotonin,C12H14N2O2,3.77,Both,Sigma,HMDB0001238,,
CJ0425,n-acetyltryptophan,C13H14N2O3,2.95,Both,Sigma,HMDB0013713,,Amino acids related and peptides
CJ0426,nadp,C21H28N7O17P3,14.85,Both,Sigma,HMDB0000217,,"Nucleosides, nucleotides, and analogues  "
CJ0427,nadph,C21H30N7O17P3,14.7,Both,Sigma,HMDB0000221,,"Nucleosides, nucleotides, and analogues  "
CJ0428,n-alpha-acetyl-l-lysine,C8H16N2O3,14.63,Both,Sigma,HMDB0000446,,Amino acids related and peptides
CJ0429,n-formylglycine,C3H5NO3,9.4,Both,Sigma,HMDB0255145,,Amino acids related and peptides
CJ0430,n-formyl-l-methionine,C6H11NO3S,3.29,Both,Sigma,HMDB0001015,,Amino acids related and peptides
CJ0431,niacinamide,C6H6N2O,3.52,Both,Sigma,HMDB0001406,,"Nucleosides, nucleotides, and analogues  "
CJ0432,nicotinamide hypoxanthine dinucleotide,C21H26N6O15P2,14.78,Both,Sigma,,cas 13586-58-8,
CJ0433,nicotinamide ribotide,C11H15N2O8P,15.1,Posi,Sigma,HMDB0000229,,
CJ0434,nicotinic acid,C6H5NO2,8.85,nega,STD,HMDB0001488,,"Nucleosides, nucleotides, and analogues  "
CJ0435,nicotine,C10H14N2,4,Posi,Sigma,HMDB0001934,,
CJ0436,nicotinic acid adenine dinucleotide,C21H27N6O18P3,15.2,posi,STD,HMDB0001179,,"Nucleosides, nucleotides, and analogues  "
CJ0437,n-methyl-d-aspartic acid,C5H9NO4,13.57,Both,Sigma,HMDB0002393,,Amino acids related and peptides
CJ0438,n-methyl-l-glutamic acid,C6H11NO4,13.64,Both,Sigma,HMDB0062660,,Amino acids related and peptides
CJ0439,n-methyltryptamine,C11H14N2,8.99,Both,Sigma,HMDB0004370,,
CJ0440,n-methylalanine,C4H9NO2,14.45,Both,Sigma,HMDB0094692,,Amino acids related and peptides
CJ0441,pelargonic acid,C9H18O2,3.67,Nega,Sigma,HMDB0000847,,FA
CJ0442,norepinephrine,C8H11NO3,,not detected in both,Sigma,HMDB0000216,,
CJ0443,l-norleucine,C6H13NO2,9.83,Both,Sigma,HMDB0001645,,Amino acids related and peptides
CJ0444,normetanephrine,C9H13NO3,9.34,Both,Sigma,HMDB0000819,,
CJ0445,norspermidine,C6H17N3,,not detected in both,Sigma,HMDB0011634,,
CJ0446,norvaline,C5H11NO2,11.24,Both,Sigma,HMDB0013716,,Amino acids related and peptides
CJ0447,l-acetylcarnitine,C9H17NO4,12.05,Posi,Sigma,HMDB0000201,,carnitine
CJ0448,o-acetylserine,C5H9NO4,9.78,Both,Sigma,HMDB0003011,,Amino acids related and peptides
CJ0449,mg(18:1(9z)/0:0/0:0),C21H40O4,2.33,Both,Sigma,HMDB0011567,,
CJ0450,12-hydroxydodecanoic acid,C12H24O3,2.58,Both,Sigma,HMDB0002059,,FA
CJ0451,o-phosphoethanolamine,C2H8NO4P,15.08,Both,Sigma,HMDB0000224,,Lipids
CJ0452,dl-o-phosphoserine,C3H8NO6P,14.92,Both,Sigma,HMDB0001721,,Amino acids related and peptides
CJ0453,ophthalmic acid,C11H19N3O6,14.18,Both,Sigma,HMDB0005765,,Amino acids related and peptides
CJ0454,orotic acid,C5H4N2O4,8.23,Both,Sigma,HMDB0000226,,"Nucleosides, nucleotides, and analogues  "
CJ0455,o-succinyl-homoserine,C8H13NO6,14.13,Posi,Sigma,,YMDB00917,Amino acids related and peptides
CJ0456,oxalic acid,C2H2O4,14.15,Nega,Sigma,HMDB0002329,,Carbohydrates and carbohydrate conjugates  
CJ0457,oxalacetic acid,C4H4O5,14.45,Nega,Sigma,HMDB0000223,,Glycolysis
CJ0458,3-oxalomalic acid,C6H6O8,2.83,Nega,Sigma,HMDB0245962,,
CJ0459,oxoadipic acid,C6H8O5,12.43,Both,Sigma,HMDB0000225,,
CJ0460,oxoglutaric acid,C5H6O5,12.84,Both,Sigma,HMDB0000208,,Glycolysis
CJ0461,4-oxoproline,C5H7NO3,9.67,Both,Sigma,HMDB0304793,,Amino acids related and peptides
CJ0462,palatinose,C12H22O11,14.59,Both,Sigma,HMDB0256083,,Carbohydrates and carbohydrate conjugates  
CJ0463,palmitoleic acid,C16H30O2,2.21,Both,Sigma,HMDB0003229,,FA
CJ0464,pantolactone,C6H10O3,2.88,Nega,Sigma,HMDB0059876,,
CJ0465,pantothenic acid,C9H17NO5,9.01,Both,Sigma,HMDB0000210,,
CJ0466,paraxanthine,C7H8N4O2,3.31,Both,Sigma,HMDB0001860,,"Nucleosides, nucleotides, and analogues  "
CJ0467,valeric acid,C5H10O2,12.75,Nega,Sigma,HMDB0000892,,FA
CJ0468,petroselinic acid,C18H34O2,2.08,Both,Sigma,HMDB0002080,,FA
CJ0469,phenol,C6H6O,2.72,Nega,Sigma,HMDB0000228,,
CJ0470,phenylacetaldehyde,C8H8O,3.8,Nega,Sigma,HMDB0006236,,
CJ0471,l-phenylalanine,C9H11NO2,9.45,Both,Sigma,HMDB0000159,,Amino acids
CJ0472,2-hydroxyphenethylamine,C8H11NO,8.18,Posi,Sigma,HMDB0001065,,
CJ0473,phenylpyruvic acid,C9H8O3,2.13,Both,Sigma,HMDB0000205,,
CJ0474,phosphocreatine,C4H10N3O5P,14.52,Both,Sigma,HMDB0001511,,Amino acids related and peptides
CJ0475,phosphoenolpyruvic acid,C3H5O6P,14.77,Both,Sigma,HMDB0000263,,Glycolysis
CJ0476,phosphonoacetate,C2H5O5P,14.91,Both,Sigma,HMDB0004110,,
CJ0477,phosphoribosyl pyrophosphate,C5H13O14P3,16.75,Nega,Sigma,HMDB0000280,,
CJ0478,phosphorylcholine,C5H14NO4P,15.22,Both,Sigma,HMDB0001565,,Lipids
CJ0479,phosphoserine,C3H8NO6P,14.91,Both,Sigma,HMDB0000272,,Amino acids related and peptides
CJ0480,p-hydroxyphenylacetic acid,C8H8O3,4.03,Nega,Sigma,HMDB0000020,,
CJ0481,phylloquinone,C31H46O2,,not detected in both,Sigma,HMDB0304722,,
CJ0482,myo-inositol hexakisphosphate,C6H18O24P6,,not detected in both,Sigma,HMDB0003502,,
CJ0483,picolinic acid,C6H5NO2,8.38,nega,STD,HMDB0002243,,
CJ0484,l-pipecolic acid,C6H11NO2,12.35,Both,Sigma,HMDB0000716,,Amino acids related and peptides
CJ0485,p-octopamine,C8H11NO2,9.8,Both,Sigma,HMDB0004825,,
CJ0486,porphobilinogen,C10H14N2O4,,Nega,Sigma,HMDB0000245,,
CJ0487,pregnenolone sulfate,C21H32O5S,1.88,Both,Sigma,HMDB0000774,,
CJ0488,prenol,C5H10O,2.36,Posi,Sigma,HMDB0030124,,
CJ0489,l-proline,C5H9NO2,12.75,Both,Sigma,HMDB0000162,,Amino acids
CJ0490,propionic acid,C3H6O2,2.85,Nega,Sigma,HMDB0000237,,
CJ0491,protoporphyrin ix,C34H34N4O4,3.8,Both,Sigma,HMDB0000241,,
CJ0492,d-psicose,C6H12O6,9.68,Nega,Sigma,HMDB0250793,,Carbohydrates and carbohydrate conjugates  
CJ0493,pterin,C6H5N5O,8.34,Both,Sigma,HMDB0000802,,
CJ0494,purine,C5H4N4,5.27,Posi,Sigma,HMDB0001366,,"Nucleosides, nucleotides, and analogues  "
CJ0495,putrescine,C4H12N2,7.85,Posi,Sigma,HMDB0001414,,
CJ0496,pyrazole,C3H4N2,,not detected in both,Sigma,HMDB0256947,,
CJ0497,pyridoxal,C8H9NO3,5.65,Both,Sigma,HMDB0001545,,
CJ0498,pyridoxal 5'-phosphate,C8H10NO6P,14.32,Both,Sigma,HMDB0001491,,
CJ0499,pyridoxamine,C8H12N2O2,13.1,Posi,Sigma,HMDB0001431,,
CJ0500,pyridoxine,C8H11NO3,5.13,Both,Sigma,HMDB0000239,,
CJ0501,pyrimidine,C4H4N2,,not detected in both,Sigma,HMDB0003361,,"Nucleosides, nucleotides, and analogues  "
CJ0502,pyrocatechol,C6H6O2,2.37,Nega,Sigma,HMDB0000957,,
CJ0503,pyroglutamic acid,C5H7NO3,14.24,not detected in both,Sigma,HMDB0000267,,Amino acids related and peptides
CJ0504,pyrrole-2-carboxylic acid,C5H5NO2,3.79,Nega,Sigma,HMDB0004230,,
CJ0505,pyruvic acid,C3H4O3,3.77,Nega,Sigma,HMDB0000243,,Glycolysis
CJ0506,pyruvaldehyde,C3H4O2,15.14,Nega,Sigma,HMDB0001167,,
CJ0507,quinic acid,C7H12O6,12.31,Both,Sigma,HMDB0003072,,
CJ0508,quinolinic acid,C7H5NO4,14.37,Both,Sigma,HMDB0000232,,
CJ0509,quinoline,C9H7N,,not detected in both,Sigma,HMDB0033731,,Quinoline carboxylic acids  
CJ0510,raffinose,C18H32O16,15.51,Both,Sigma,HMDB0003213,,Carbohydrates and carbohydrate conjugates  
CJ0511,resorcinol monoacetate,C8H8O3,2.46,Nega,Sigma,HMDB0257165,,
CJ0512,all-trans-retinoic acid,C20H28O2,2.1,Nega,Sigma,HMDB0001852,,Retinoids  
CJ0513,vitamin a,C20H30O,,not detected in both,Sigma,HMDB0000305,,Retinoids  
CJ0514,retinyl palmitate,C36H60O2,,not detected in both,Sigma,HMDB0003648,,
CJ0515,rhamnose,C6H12O5,8.35,Nega,Sigma,HMDB0000849,,Carbohydrates and carbohydrate conjugates  
CJ0516,ribitol,C5H12O5,10.26,Both,Sigma,HMDB0000508,,Carbohydrates and carbohydrate conjugates  
CJ0517,riboflavin,C17H20N4O6,8.47,Both,Sigma,HMDB0000244,,
CJ0518,d-ribose,C5H10O5,9.38,Nega,Sigma,HMDB0000283,,Carbohydrates and carbohydrate conjugates  
CJ0519,"ribose 1,5-bisphosphate",C5H12O11P2,14.93,Nega,Sigma,HMDB0011688,,Carbohydrates and carbohydrate conjugates  
CJ0520,rosmarinic acid,C18H16O8,3.76,Nega,Sigma,HMDB0003572,,
CJ0521,glucaric acid,C6H10O8,14.39,Both,Sigma,HMDB0029881,,Carbohydrates and carbohydrate conjugates  
CJ0522,s-adenosylhomocysteine,C14H20N6O5S,14.53,Both,Sigma,HMDB0000939,,"Nucleosides, nucleotides, and analogues  "
CJ0523,s-adenosylmethionine,C15H22N6O5S,16.26,Posi,Sigma,HMDB0001185,,"Nucleosides, nucleotides, and analogues  "
CJ0524,salicylamide,C7H7NO2,2.6,Both,Sigma,HMDB0015687,,
CJ0525,salicylic acid,C7H6O3,3.8,Nega,Sigma,HMDB0001895,,
CJ0526,salsolinol,C10H13NO2,,not detected in both,Sigma,HMDB0042012,,
CJ0527,sarcosine,C3H7NO2,13.58,Both,Sigma,HMDB0000271,,Amino acids related and peptides
